Date,Open,High,Low,Close,Volume
2017-01-03,119.27,119.99,118.89,119.54,22307600.0
2017-01-04,119.67,120.41,119.66,120.19,19749100.0
2017-01-05,120.1,120.95,120.1,120.87,20644300.0
2017-01-06,121.0,122.25,120.69,121.93,24074300.0
2017-01-09,122.03,122.55,121.95,122.33,18909200.0
2017-01-10,122.38,122.97,122.1,122.6,16176600.0
2017-01-11,122.65,122.93,122.02,122.93,20686000.0
2017-01-12,122.49,122.82,121.6,122.74,19622500.0
2017-01-13,122.8,123.37,122.8,123.16,16930800.0
2017-01-17,122.84,123.03,122.43,122.79,14538500.0
2017-01-18,122.97,123.16,122.66,123.04,12499700.0
2017-01-19,123.22,123.65,122.72,122.98,12710700.0
2017-01-20,123.52,123.83,122.92,123.25,22091000.0
2017-01-23,123.17,123.53,122.57,123.35,17434200.0
2017-01-24,123.59,124.37,123.38,124.18,17640900.0
2017-01-25,124.96,125.46,124.85,125.43,15036200.0
2017-01-26,125.6,125.82,125.34,125.56,16052200.0
2017-01-27,125.83,125.92,125.39,125.8,15053000.0
2017-01-30,125.38,125.38,124.13,124.82,25006700.0
2017-01-31,124.38,124.6,123.85,124.57,19091100.0
2017-02-01,125.45,125.68,124.86,125.43,22861900.0
2017-02-02,125.21,125.7,124.86,125.32,15101400.0
2017-02-03,125.45,125.81,125.33,125.68,16957200.0
2017-02-06,125.47,125.85,125.35,125.83,11630100.0
2017-02-07,126.09,126.55,125.97,126.29,17541100.0
2017-02-08,126.12,126.68,125.88,126.5,12569100.0
2017-02-09,126.63,127.24,126.56,126.96,17542700.0
2017-02-10,127.24,127.56,127.02,127.38,13915700.0
2017-02-13,127.77,128.26,127.72,128.1,19120200.0
2017-02-14,128.15,128.54,127.74,128.53,16333500.0
2017-02-15,128.44,129.35,128.37,129.29,17891400.0
2017-02-16,129.37,129.63,128.92,129.25,15098300.0
2017-02-17,129.06,129.82,129.04,129.81,15563700.0
2017-02-21,130.06,130.53,129.99,130.45,18479600.0
2017-02-22,130.33,130.59,130.11,130.5,12110900.0
2017-02-23,130.7,130.7,129.49,130.01,17489000.0
2017-02-24,129.42,130.26,129.38,130.26,18624500.0
2017-02-27,130.02,130.43,129.8,130.42,12008700.0
2017-02-28,130.39,130.45,129.66,130.02,16598600.0
2017-03-01,130.85,131.68,130.6,131.44,25813800.0
2017-03-02,131.41,131.43,130.62,130.78,19951400.0
2017-03-03,130.69,131.06,130.34,131.02,13722700.0
2017-03-06,130.59,130.95,130.21,130.73,12026200.0
2017-03-07,130.47,131.08,130.28,130.51,15500900.0
2017-03-08,130.59,131.15,130.46,130.74,15776000.0
2017-03-09,130.71,131.02,130.14,130.84,20855300.0
2017-03-10,131.44,131.6,130.82,131.39,21922600.0
2017-03-13,131.34,131.64,131.27,131.61,10731600.0
2017-03-14,131.31,131.36,130.76,131.29,14019700.0
2017-03-15,131.56,132.41,131.14,132.1,22709100.0
2017-03-16,132.35,132.35,131.71,132.01,18457300.0
2017-03-17,131.9,132.04,131.62,131.69,21234500.0
2017-03-20,131.65,132.11,131.46,131.81,10105200.0
2017-03-21,132.31,132.43,129.73,129.81,35841900.0
2017-03-22,129.85,130.82,129.68,130.69,29177900.0
2017-03-23,130.52,130.88,130.14,130.36,20311700.0
2017-03-24,130.78,131.29,130.13,130.63,22967600.0
2017-03-27,129.7,131.07,129.4,130.84,18472400.0
2017-03-28,130.84,132.03,130.55,131.64,23721900.0
2017-03-29,131.73,132.3,131.59,132.25,13710000.0
2017-03-30,132.2,132.61,132.08,132.47,16092400.0
2017-03-31,132.28,132.74,132.13,132.38,19841400.0
2017-04-03,132.49,132.81,131.56,132.3,23700300.0
2017-04-04,131.92,132.53,131.87,132.51,13400000.0
2017-04-05,132.7,133.48,131.72,131.97,32011200.0
2017-04-06,132.1,132.39,131.7,132.04,18832200.0
2017-04-07,132.0,132.37,131.5,131.97,16743100.0
2017-04-10,132.1,132.57,131.66,132.02,15619300.0
2017-04-11,131.9,132.1,130.5,131.45,33778400.0
2017-04-12,131.43,131.54,130.78,130.92,15955200.0
2017-04-13,130.74,131.51,130.38,130.4,23683000.0
2017-04-17,130.77,131.5,130.72,131.48,13325500.0
2017-04-18,131.04,131.66,130.95,131.28,12841100.0
2017-04-19,131.85,132.29,131.31,131.49,17764800.0
2017-04-20,132.02,132.88,131.82,132.59,21977900.0
2017-04-21,132.71,132.76,132.22,132.56,22454900.0
2017-04-24,134.03,134.29,133.8,134.16,22469900.0
2017-04-25,134.6,135.37,134.48,135.13,19384400.0
2017-04-26,135.18,135.51,134.86,134.94,25398500.0
2017-04-27,135.27,135.75,135.19,135.75,16136500.0
2017-04-28,136.29,136.34,135.77,135.99,22771900.0
2017-05-01,136.44,137.38,136.38,137.2,24815500.0
2017-05-02,137.37,137.49,137.02,137.43,18345100.0
2017-05-03,137.12,137.17,136.62,136.99,23827600.0
2017-05-04,136.97,137.43,136.56,137.04,14630100.0
2017-05-05,137.39,137.54,136.88,137.54,19330700.0
2017-05-08,137.61,137.84,137.33,137.84,13279900.0
2017-05-09,138.05,138.63,137.93,138.32,28426100.0
2017-05-10,138.4,138.45,137.91,138.4,20499400.0
2017-05-11,138.02,138.33,137.38,138.29,27232100.0
2017-05-12,138.35,138.63,138.23,138.6,19738600.0
2017-05-15,138.66,139.12,138.53,139.04,20481300.0
2017-05-16,139.4,139.64,138.99,139.62,21786000.0
2017-05-17,138.51,138.77,136.05,136.07,55642200.0
2017-05-18,136.02,137.72,135.87,137.26,41319900.0
2017-05-19,137.75,138.42,137.66,137.84,36730100.0
2017-05-22,138.15,139.07,138.1,139.0,19509700.0
2017-05-23,139.41,139.42,138.78,139.14,19687500.0
2017-05-24,139.56,139.85,139.17,139.78,15891900.0
2017-05-25,140.31,141.33,140.01,140.97,23928600.0
2017-05-26,141.0,141.28,140.81,141.22,13851600.0
2017-05-30,141.15,141.51,141.06,141.34,20306400.0
2017-05-31,141.84,141.84,140.57,141.29,33229400.0
2017-06-01,141.58,141.9,140.98,141.84,20120700.0
2017-06-02,142.34,143.49,142.11,143.46,37222900.0
2017-06-05,143.45,143.68,143.23,143.43,15727500.0
2017-06-06,143.26,143.73,142.65,142.86,22393000.0
2017-06-07,143.26,143.54,142.6,143.42,18842400.0
2017-06-08,143.74,143.8,142.79,143.57,25417400.0
2017-06-09,143.74,143.9,138.11,139.98,109783700.0
2017-06-12,138.8,139.48,137.47,139.23,104454000.0
2017-06-13,140.01,140.56,139.28,140.36,51193000.0
2017-06-14,140.93,140.93,138.62,139.75,60093800.0
2017-06-15,138.34,139.28,137.49,139.13,55145200.0
2017-06-16,138.68,138.78,137.64,138.15,48087400.0
2017-06-19,139.49,140.59,139.28,140.46,39626500.0
2017-06-20,140.32,140.5,139.31,139.36,40935100.0
2017-06-21,139.68,140.81,139.59,140.74,35743400.0
2017-06-22,140.96,141.22,140.34,140.7,24099100.0
2017-06-23,140.54,141.42,140.15,141.24,21654300.0
2017-06-26,142.05,142.29,140.27,140.58,34411100.0
2017-06-27,140.05,140.22,138.02,138.03,65957800.0
2017-06-28,138.54,140.14,137.74,140.02,57427200.0
2017-06-29,139.44,139.44,136.25,137.59,88769400.0
2017-06-30,137.98,138.67,137.19,137.64,68898300.0
2017-07-03,138.27,138.43,136.1,136.19,32797000.0
2017-07-05,136.62,137.9,136.16,137.53,42116600.0
2017-07-06,136.48,137.06,135.8,136.29,48430500.0
2017-07-07,136.75,138.13,136.74,137.76,36970400.0
2017-07-10,137.85,138.99,137.5,138.66,24853500.0
2017-07-11,138.46,139.22,137.94,139.05,31517700.0
2017-07-12,140.24,140.86,139.96,140.7,36045800.0
2017-07-13,140.87,141.35,140.6,141.01,31073600.0
2017-07-14,141.64,142.3,141.19,142.12,34544800.0
2017-07-17,142.27,142.69,141.92,142.19,25343200.0
2017-07-18,142.09,143.17,141.64,143.14,25748500.0
2017-07-19,143.56,144.19,143.5,143.98,33752300.0
2017-07-20,144.35,144.44,143.52,144.17,36139400.0
2017-07-21,143.64,144.11,143.35,144.11,39697100.0
2017-07-24,144.09,144.87,143.92,144.77,26712700.0
2017-07-25,144.29,144.74,144.01,144.4,28120900.0
2017-07-26,144.76,144.95,144.53,144.87,18610600.0
2017-07-27,145.82,145.96,142.3,143.96,80665900.0
2017-07-28,143.1,144.08,142.87,143.84,38013200.0
2017-07-31,144.25,144.43,142.92,143.23,33848600.0
2017-08-01,143.72,143.76,143.12,143.56,20149400.0
2017-08-02,144.49,144.52,142.61,143.95,41769700.0
2017-08-03,144.09,144.17,143.13,143.39,27112800.0
2017-08-04,143.71,143.97,143.06,143.65,29472900.0
2017-08-07,143.91,144.56,143.71,144.56,17933900.0
2017-08-08,144.28,145.47,143.9,144.31,30810400.0
