,0
2006-08-08,-0.0007322871223297126
2006-08-09,0.001093709574281408
2006-08-10,-0.0012474545250529398
2006-08-11,-0.000572110975096805
2006-08-14,-0.001244052201074024
2006-08-15,-0.000836157519901796
2006-08-16,0.0005817537913075595
2006-08-17,-0.0029041294707500736
2006-08-18,0.001463602038378881
2006-08-21,0.0021149260255443015
2006-08-22,-0.0003313220912217901
2006-08-23,-0.001158314101365812
2006-08-24,-0.00045217408112876805
2006-08-25,0.0003591138104515837
2006-08-28,-0.0006792804517489544
2006-08-29,0.0001517919479628479
2006-08-30,0.0018519689787497903
2006-08-31,0.0026355452339101334
2006-09-01,0.0015215197701043488
2006-09-05,0.004311617575558341
2006-09-06,-0.004071989586811646
2006-09-07,-0.007467535132904075
2006-09-08,0.00024864498970026945
2006-09-11,-0.0022102322924476593
2006-09-12,0.0023374323300094507
2006-09-13,0.002311716880055053
2006-09-14,-0.0031918548456762283
2006-09-15,-0.00010120981491177012
2006-09-18,0.0026290695793689633
2006-09-19,-0.0037241788320864664
2006-09-20,0.002796269123183829
2006-09-21,3.0085589472811283e-06
2006-09-22,-0.0003934183359634735
2006-09-25,0.0029601762065298797
2006-09-26,0.0029422007006814485
2006-09-27,0.0013658765619519143
2006-09-28,-0.00013901577473724943
2006-09-29,-0.000746288330391769
2006-10-02,-0.002280874756899034
2006-10-03,-0.0005447868615107722
2006-10-04,0.0011168968335605297
2006-10-05,0.0018640959405294153
2006-10-06,-0.0002499789188012572
2006-10-09,0.00048480544998544543
2006-10-10,2.978745272502292e-05
2006-10-11,-0.000766645924503789
2006-10-12,0.004543652572501708
2006-10-13,0.0026092487615639415
2006-10-16,0.001278789465282218
2006-10-17,-0.00217713700302581
2006-10-18,0.00010351344756187855
2006-10-19,0.0018623613584160036
2006-10-20,-0.0018536784829832453
2006-10-23,0.0004665080511136563
2006-10-24,0.0011171006176080287
2006-10-25,0.0031256062447822105
2006-10-26,0.0021320715731714497
2006-10-27,-0.0024491881909335547
2006-10-30,0.001060402384013103
2006-10-31,0.0009211582448249591
2006-11-01,-0.0013109899704031205
2006-11-02,0.002012118966113063
2006-11-03,0.0007687995152908057
2006-11-06,0.002691851750464519
2006-11-07,0.002127829839696654
2006-11-08,-0.001415183126380052
2006-11-09,0.0008961417155680588
2006-11-10,-0.00013116593641436666
2006-11-13,0.0013355095719039145
2006-11-14,0.0027791637498589656
2006-11-15,0.0016539282444479456
2006-11-16,0.00043119872098597984
2006-11-17,0.0013615246089307936
2006-11-20,0.00033747660840608687
2006-11-21,0.0013048466065422072
2006-11-22,0.001765471547722367
2006-11-24,6.618695926795823e-05
2006-11-27,-0.005712385320358399
2006-11-28,0.0014588053199186906
2006-11-29,0.002377993949599554
2006-11-30,0.0025353997770496827
2006-12-01,-0.002581629351745561
2006-12-04,0.0037423633714872722
2006-12-05,0.0010406398898492324
2006-12-06,-0.004315818337355412
2006-12-07,-0.00223837737121403
2006-12-08,-0.00034098532450639336
2006-12-11,0.002836394350155861
2006-12-12,-0.0006689867434123401
2006-12-13,0.0003527145373095536
2006-12-14,0.002627167700184895
2006-12-15,-0.004117768924936276
2006-12-18,-0.0018493684185605388
2006-12-19,0.0020342382711066214
2006-12-20,-0.0006108884032155129
2006-12-21,-0.0024683832800478315
2006-12-22,-0.001873708207411502
2006-12-26,0.0033824452511053357
2006-12-27,0.0029750391218122353
2006-12-28,0.001089098402048172
2006-12-29,-0.00038593752444282233
2007-01-03,-0.003010421480653787
2007-01-04,-0.0011741824461722295
2007-01-05,-0.006658972568157952
2007-01-08,0.0019371610534409233
2007-01-09,0.0003298148756602573
2007-01-10,0.0004838832899536458
2007-01-11,0.002116142818269953
2007-01-12,0.005506981039299192
2007-01-16,-0.0009435457737978373
2007-01-17,0.001144395120623402
2007-01-18,-0.004231092324859218
2007-01-19,0.002402833714024409
2007-01-22,-0.0019676871033731764
2007-01-23,0.005933491960425944
2007-01-24,0.004168740926041247
2007-01-25,-0.0047859609920050715
2007-01-26,-0.0002570244113740333
2007-01-29,-0.000798075094905772
2007-01-30,0.0023524013381388395
2007-01-31,0.0042796203438081465
2007-02-01,0.0031060297835726934
2007-02-02,-0.0006953473318499891
2007-02-05,0.00013762349943833703
2007-02-06,0.001285419375768446
2007-02-07,0.0007588843244315752
2007-02-08,0.0012944514928286065
2007-02-09,-0.0019984744297214803
2007-02-12,-0.002851396627945919
2007-02-13,0.0033479396155548184
2007-02-14,0.003910595033972323
2007-02-15,0.0006551831674223712
2007-02-16,-0.00047145986268121675
2007-02-20,-0.0011736299989226493
2007-02-21,0.007005572548212787
2007-02-22,-0.0004682006106275658
2007-02-23,-0.0006050170599213433
2007-02-26,0.0014503098803936468
2007-02-27,-0.023811566774201674
2007-02-28,0.0070241693848771755
2007-03-01,-0.0022788668290774187
2007-03-02,-0.008386512930193
2007-03-05,-0.004695170251969443
2007-03-06,0.00898748272773802
2007-03-07,0.0003591913722242281
2007-03-08,0.00071388118385559
2007-03-09,-0.0002763091510011087
2007-03-12,0.00030230497948956035
2007-03-13,-0.0011271868679571897
2007-03-14,0.0013034386375928855
2007-03-15,6.592071049862968e-06
2007-03-16,0.0007823817625624715
2007-03-19,0.0002140257279734896
2007-03-20,0.0007597854918024793
2007-03-21,0.001959425569406486
2007-03-22,-0.00032968960237901774
2007-03-23,-0.00030476579725081585
2007-03-26,0.00018732777677523676
2007-03-27,-0.0008795770022308552
2007-03-28,-0.001915446896404736
2007-03-29,-0.0011891075115879972
2007-03-30,0.00026601606341941544
2007-04-02,0.0003213677715796365
2007-04-03,0.003131642336755397
2007-04-04,0.0029662177901873484
2007-04-05,0.0011114962954496817
2007-04-09,-0.00019445206192747743
2007-04-10,0.002484911250785992
2007-04-11,-0.001558306521380501
2007-04-12,0.0015324266761046453
2007-04-13,0.004383584368332601
2007-04-16,0.003699655035434351
2007-04-17,-0.000593835768107426
2007-04-18,0.0012956234313510745
2007-04-19,-0.0017688541459439909
2007-04-20,0.005288421576284114
2007-04-23,-0.0018413562859090498
2007-04-24,-0.0007723686056753364
2007-04-25,0.003685859712865223
2007-04-26,-0.0027855271830358732
2007-04-27,0.002068261631853913
2007-04-30,-0.004163597629114826
2007-05-01,-0.0002492151059193912
2007-05-02,0.0017573867307435127
2007-05-03,0.0047563625125931295
2007-05-04,0.003245109689607756
2007-05-07,0.00019306049083854805
2007-05-08,-0.0010083613555163604
2007-05-09,-0.00019667873904336193
2007-05-10,-0.007009089487356855
2007-05-11,0.004842095606109902
2007-05-14,-0.0013594508892575666
2007-05-15,0.0004983580800893658
2007-05-16,-0.001222509359335786
2007-05-17,-0.0020506770571806997
2007-05-18,0.004056947224127231
2007-05-21,0.0005806341115888426
2007-05-22,-0.0007606572687778364
2007-05-23,0.0008461932773886913
2007-05-24,-0.005462275775946163
2007-05-25,0.001966727498553279
2007-05-29,0.0015796673091743037
2007-05-30,0.0011168115527280715
2007-05-31,0.003337752943300372
2007-06-01,0.0029338707693091857
2007-06-04,0.0005611994687157996
2007-06-05,-0.0015308574692530135
2007-06-06,-0.0030720890198927013
2007-06-07,-0.00803696274124921
2007-06-08,0.00042004065166431235
2007-06-11,0.0013279183792267808
2007-06-12,-0.004551315383748762
2007-06-13,0.0055458063166036724
2007-06-14,0.00197281370345064
2007-06-15,0.0015611070037959828
2007-06-18,8.954141009639792e-05
2007-06-19,0.0019486510847568043
2007-06-20,-0.005568773783133598
2007-06-21,0.0017697909475820465
2007-06-22,-0.002051683807143025
2007-06-25,-0.0022014979231831985
2007-06-26,-0.0047530949090520665
2007-06-27,0.004536370343122166
2007-06-28,0.0020836165756205885
2007-06-29,0.00025164475416678976
2007-07-02,0.00470753224225186
2007-07-03,0.00010826546396320896
2007-07-05,-0.0008616492059356579
2007-07-06,0.003018794880891837
2007-07-09,0.0008501825343439
2007-07-10,-0.0030317540617381495
2007-07-11,0.0018805408326573977
2007-07-12,0.005819133812806269
2007-07-13,0.001094601669070033
2007-07-16,-0.0005942888830612242
2007-07-17,0.00016911910154112928
2007-07-18,0.0026885788294347982
2007-07-19,0.0026051795133853334
2007-07-20,-0.0013737650423380334
2007-07-23,0.0002663709821307953
2007-07-24,-0.0047250420202207336
2007-07-25,-0.0014783068849827643
2007-07-26,-0.010659598600948606
2007-07-27,-0.006218011828685021
2007-07-30,0.005886683197869405
2007-07-31,-0.003060671627443456
2007-08-01,0.00223706567514382
2007-08-02,-3.038056956119201e-05
2007-08-03,0.002789425386298262
2007-08-06,-0.0007866715931450243
2007-08-07,2.1137522527058227e-05
2007-08-08,0.0013137556339023388
2007-08-09,-0.0037075436611711983
2007-08-10,0.0018103695954306445
2007-08-13,-0.001138216592128113
2007-08-14,-0.00021413246124847598
2007-08-15,-0.0019590606508662397
2007-08-16,-0.0029330017107079957
2007-08-17,0.0008957000171326999
2007-08-20,0.0003491461495392321
2007-08-21,-8.512389370887113e-05
2007-08-22,0.0011700313793594384
2007-08-23,-0.0003121499368960835
2007-08-24,0.0026307906694851132
2007-08-27,-0.00044763851337964737
2007-08-28,-0.001984695676105585
2007-08-29,0.0037002824934078966
2007-08-30,-0.0007734657115809373
2007-08-31,0.002840541922056514
2007-09-04,0.0034415630222047904
